+-----------+----------------------------------------------------------------------+--------+------+
|  IMDb_id  |                                Title                                 | Rating | Year |
| tt1124035 | The Ides of March                                                    | 7.1    | 2011 |
| tt1277953 | Madagascar 3: Europe's Most Wanted                                   | 6.8    | 2012 |
| tt0887912 | The Hurt Locker                                                      | 7.5    | 2008 |
| tt1217613 | Battle: Los Angeles                                                  | 5.7    | 2011 |
| tt0120903 | X-Men                                                                | 7.3    | 2000 |
| tt1464540 | I Am Number Four                                                     | 6.1    | 2011 |
| tt0286716 | Hulk                                                                 | 5.6    | 2003 |
| tt1114677 | Hannah Montana: The Movie                                            | 4.5    | 2009 |
| tt0147800 | 10 Things I Hate About You                                           | 7.3    | 1999 |
| tt0317705 | The Incredibles                                                      | 8.0    | 2004 |
| tt0241303 | Chocolat                                                             | 7.3    | 2000 |
| tt0865556 | The Forbidden Kingdom                                                | 6.5    | 2008 |
| tt0473075 | Prince of Persia: The Sands of Time                                  | 6.6    | 2010 |
| tt0277296 | The Scorpion King                                                    | 5.5    | 2002 |
| tt1258197 | Exam                                                                 | 6.8    | 2009 |
| tt0340377 | The Station Agent                                                    | 7.6    | 2003 |
| tt1024648 | Argo                                                                 | 7.7    | 2012 |
| tt0892318 | Letters to Juliet                                                    | 6.5    | 2010 |
| tt1024255 | Wild Child                                                           | 6.1    | 2008 |
| tt0974661 | 17 Again                                                             | 6.4    | 2009 |
| tt0481141 | No Reservations                                                      | 6.3    | 2007 |
| tt1041829 | The Proposal                                                         | 6.7    | 2009 |
| tt0151738 | Never Been Kissed                                                    | 6.0    | 1999 |
| tt0106701 | Dennis the Menace                                                    | 5.6    | 1993 |
| tt0112864 | Die Hard: With a Vengeance                                           | 7.6    | 1995 |
| tt0258463 | The Bourne Identity                                                  | 7.9    | 2002 |
| tt0093773 | Predator                                                             | 7.8    | 1987 |
| tt0822854 | Shooter                                                              | 7.2    | 2007 |
| tt1876277 | Into the White                                                       | 7.1    | 2012 |
| tt0059800 | Thunderball                                                          | 6.9    | 1965 |
| tt1034303 | Defiance                                                             | 7.1    | 2008 |
| tt0120347 | Tomorrow Never Dies                                                  | 6.5    | 1997 |
| tt0317919 | Mission: Impossible III                                              | 6.9    | 2006 |
| tt0121766 | Star Wars: Episode III - Revenge of the Sith                         | 7.6    | 2005 |
| tt0099472 | DuckTales the Movie: Treasure of the Lost Lamp                       | 6.8    | 1990 |
| tt0266987 | Spy Game                                                             | 7.0    | 2001 |
| tt0914798 | The Boy in the Striped Pajamas                                       | 7.7    | 2008 |
| tt0988045 | Sherlock Holmes                                                      | 7.6    | 2009 |
| tt0243155 | Bridget Jones's Diary                                                | 6.7    | 2001 |
| tt0498380 | Letters from Iwo Jima                                                | 7.9    | 2006 |
| tt0499549 | Avatar                                                               | 7.8    | 2009 |
| tt0183649 | Phone Booth                                                          | 7.1    | 2002 |
| tt0121765 | Star Wars: Episode II - Attack of the Clones                         | 6.6    | 2002 |
| tt0240890 | Serendipity                                                          | 6.8    | 2001 |
| tt0318649 | Sahara                                                               | 6.0    | 2005 |
| tt1670345 | Now You See Me                                                       | 7.2    | 2013 |
| tt1282140 | Easy A                                                               | 7.0    | 2010 |
| tt0098635 | When Harry Met Sally...                                              | 7.7    | 1989 |
| tt1535109 | Captain Phillips                                                     | 7.8    | 2013 |
| tt0458339 | Captain America: The First Avenger                                   | 6.9    | 2011 |
| tt0137523 | Fight Club                                                           | 8.8    | 1999 |
| tt0944835 | Salt                                                                 | 6.4    | 2010 |
| tt0349205 | Cheaper by the Dozen                                                 | 5.9    | 2003 |
| tt0114069 | Outbreak                                                             | 6.6    | 1995 |
| tt2194499 | About Time                                                           | 7.8    | 2013 |
| tt0143145 | The World Is Not Enough                                              | 6.4    | 1999 |
| tt1210819 | The Lone Ranger                                                      | 6.4    | 2013 |
| tt0337563 | 13 Going on 30                                                       | 6.2    | 2004 |
| tt0808151 | Angels & Demons                                                      | 6.7    | 2009 |
| tt0120915 | Star Wars: Episode I - The Phantom Menace                            | 6.5    | 1999 |
| tt0120762 | Mulan                                                                | 7.6    | 1998 |
